review_cluster_id,ambiguity_type,reviewer_final_ruling,manual_review_status,reviewer_event_count_final,reviewer_event_price_final,price_rule,source_confidence,source_urls,reviewer_notes,reviewed_by,reviewed_date
acris_site_cluster_2015080600107001,same_bbl_same_amount_different_sellers,CONFIRM_SUM_DOCUMENT_AMOUNTS,EXTERNAL_CONFIRMED,1,36000000,SUM_FOUR_25_PERCENT_TIC_DEEDS,HIGH,https://hudsonriverpark.org/app/uploads/2020/07/HRPT_-_Lalezarian_TDR_Appraisal_11-24-17.pdf;https://therealdeal.com/new-york/2015/08/07/lalezarian-makes-big-bet-on-west-chelsea-development-site/;https://newyorkyimby.com/2019/03/permits-filed-for-45-story-tower-at-606-west-30th-street-in-chelsea.html,External review found an HRPT appraisal identifying the four 9M deeds as four 25 percent tenant-in-common interests totaling 36M for one acquisition of 606 West 30th Street; contemporaneous real estate reporting corroborates the 36M site acquisition.,chatgpt_browser_review,2026-06-13
acris_site_cluster_2010060900359002,same_buyer_date_repeated_bbl_different_amounts,CONFIRM_SUM_DOCUMENT_AMOUNTS,EXTERNAL_CONFIRMED,1,3561746.87,POSITIVE_DEED_PLUS_ZERO_COMPANION,HIGH,https://www.nyc.gov/assets/finance/downloads/pdf/rolling_sales/annualized-sales/2010/2010_brooklyn.pdf;https://www.propertyshark.com/mason/Property/175630/1250-Fulton-St-Brooklyn-NY-11216/;https://www.homes.com/property/1250-1264-fulton-st-brooklyn-ny/h50ypc490r58f/,External review found one positive June 3 2010 sale for 1250 Fulton Street at approximately 3.561747M and one zero or unpriced companion deed; count the positive deed amount once and treat the zero deed as a companion document.,chatgpt_browser_review,2026-06-13
acris_site_supercluster_2010040500208001,same_date_site_partial_interest_supercluster,CONFIRM_SUM_DOCUMENT_AMOUNTS,EXTERNAL_CONFIRMED,1,327000,POSITIVE_DEED_PLUS_ZERO_COMPANIONS,MEDIUM,https://www.nyc.gov/assets/finance/downloads/pdf/rolling_sales/annualized-sales/2010/2010_manhattan.pdf;https://www.realtyhop.com/property-records/new-york-ny/search/robert-londin-executor;https://www.realtyhop.com/property-records/new-york-ny/search/estate-of-barbara-londin,"External review found DOF records showing one 327000 row and three zero rows for 401 Park Avenue South on March 29 2010, with public-record corroboration involving Estate of Barbara Londin and related trusts; treat as one actual-consideration transfer with zero companions and flag downstream as partial-interest estate-trust related rather than full fee-simple market site price.",chatgpt_browser_review,2026-06-13
acris_site_supercluster_2010062800511001,same_date_site_partial_interest_supercluster,UNRESOLVED_AFTER_REVIEW,NO_EXTERNAL_EVIDENCE,,,NONE_UNRESOLVED_REPEATED_AMOUNT_INTERNAL_TRUST_CHAIN,LOW,https://www.nyc.gov/assets/finance/downloads/pdf/rolling_sales/annualized-sales/2010/2010_manhattan.pdf;https://www.realtyhop.com/property-records/new-york-ny/search/the-allan-h-goldman-2008-y-3-trust,"External review found DOF and public-record evidence for repeated same-amount Goldman trust or estate rows at 604-12 Avenue of the Americas, but no credible source resolved whether the repeated 3.405019M documents are separate consideration components or repeated consideration in an internal trust chain; leave final event count and price unresolved and do not use as a priced site-sale event.",chatgpt_browser_review,2026-06-13
acris_site_cluster_2010092300782001,same_buyer_date_repeated_bbl_different_amounts,CONFIRM_SUM_DOCUMENT_AMOUNTS,EXTERNAL_CONFIRMED,1,6999766.67,SUM_COMPLEMENTARY_PARTIAL_INTEREST_DEEDS,MEDIUM,https://www.nyc.gov/assets/finance/downloads/pdf/rolling_sales/annualized-sales/2010/2010_brooklyn.pdf;https://www.homes.com/property/9305-9331-5th-ave-brooklyn-ny/72tty4jn5prbt/,"External review found official DOF sales rows and public-record history showing same-date positive sale components for 9305 5 Avenue at approximately 583100 and 6416667; amounts align with complementary partial-interest deeds and no press or broker source was found, so treat as one economic acquisition but keep medium confidence.",chatgpt_browser_review,2026-06-13
acris_site_cluster_2010101400104001,same_buyer_date_repeated_bbl_different_amounts,CONFIRM_SUM_DOCUMENT_AMOUNTS,EXTERNAL_CONFIRMED,1,2000000,POSITIVE_DEED_PLUS_ZERO_COMPANION,HIGH,https://www.nyc.gov/assets/finance/downloads/pdf/rolling_sales/annualized-sales/2010/2010_queens.pdf;https://propertyinformationportal.nyc.gov/parcels/parcel/4092810044;https://extapps.dec.ny.gov/data/DecDocs/C241103/Certificate%20of%20Completion.BCP.C241103.2013-08-30.REVISED.pdf;https://extapps.dec.ny.gov/data/DecDocs/C241103/Work%20Plan.BCP.C241103.2021-06-28.CMWP.pdf,"External review found DOF and NYC property-record evidence supporting one positive October 12 2010 deed at 2M from UFI Inc. to Union Jamaica Housing Development Fund Corp. plus a zero-dollar same-date companion or self-transfer document; count one economic site-sale event at 2M and flag for later private-market filtering because the buyer is HDFC or affordable-housing-related.",chatgpt_browser_review,2026-06-13
acris_site_cluster_2010110200743001,same_buyer_date_repeated_bbl_different_amounts,CONFIRM_SUM_DOCUMENT_AMOUNTS,EXTERNAL_CONFIRMED,1,6250000,SUM_TWO_POSITIVE_DEEDS_EXTERNAL_CONFIRMED,HIGH,https://therealdeal.com/new-york/2019/06/05/heres-what-the-10m-20m-nyc-investment-sales-market-looked-like-last-week-189/;https://www.nyc.gov/assets/finance/downloads/pdf/rolling_sales/annualized-sales/2010/2010_manhattan.pdf;https://www.homes.com/property/51-55-e-125th-st-new-york-ny/493sbx88j6gfb/;https://absre.com/wp-content/uploads/2015/03/11-13_RealEstateWeekly_340StNich_273Lenox_MT_RK.pdf,"External review found real-estate reporting stating that 51-55 East 125th Street was bought for 6.25M in 2010, matching the sum of the two positive ACRIS and DOF amounts; treat as one economic site-sale event and sum the two positive document amounts.",chatgpt_browser_review,2026-06-13
acris_site_cluster_2011011901457003,same_buyer_date_repeated_bbl_different_amounts,CONFIRM_SUM_DOCUMENT_AMOUNTS,EXTERNAL_CONFIRMED,1,3175000,SUM_COMPLEMENTARY_PARTIAL_INTEREST_DEEDS,HIGH,https://www.nyc.gov/assets/finance/downloads/pdf/rolling_sales/annualized-sales/2011/2011_brooklyn.pdf;https://www.realtyhop.com/property-records/search/david-chemtob,"External review found complementary 8 and 92 percent transferred values whose amounts exactly sum to 3.175M, with DOF independently reporting the two same-date positive sale rows for 1640 Flatbush Avenue; treat as one economic acquisition and do not merge the separate March 29 2011 3.9M sale row into this event.",chatgpt_browser_review,2026-06-13
acris_site_cluster_2011080401602001,same_buyer_date_repeated_bbl_different_amounts,CONFIRM_SUM_DOCUMENT_AMOUNTS,EXTERNAL_CONFIRMED,1,11450000,SUM_COMPLEMENTARY_TIC_INTEREST_DEEDS,HIGH,https://law.justia.com/cases/new-york/other-courts/2016/2016-ny-slip-op-31633-u.html;https://www.nyc.gov/assets/finance/downloads/pdf/rolling_sales/annualized-sales/2011/2011_manhattan.pdf,"External review found a New York court decision describing A&L 444, GMD/GMD 444, and DEM as tenant-in-common owners and 444 Park Avenue South Associates purchasing ownership interests, while DOF lists three same-date positive rows for the same BBL; treat as one economic transaction and sum the three document amounts, but flag downstream as partial-interest or TIC restructuring rather than an unqualified full fee-simple market site price.",chatgpt_browser_review,2026-06-13
acris_site_supercluster_2012010500314003,same_date_site_partial_interest_supercluster,CONFIRM_SUM_DOCUMENT_AMOUNTS,EXTERNAL_CONFIRMED,1,255527939.22,SUM_MULTIBUYER_PARTIAL_INTEREST_SUPERCLUSTER,MEDIUM,https://therealdeal.com/new-york/2011/09/19/rxr-realty-and-scott-lechler-acquire-620-sixth-avenue-from-bonjour-capital-in-deal-that-values-building-at-500-million/;https://www.nyc.gov/assets/finance/downloads/pdf/rolling_sales/annualized-sales/2011/2011_manhattan.pdf;https://commercialobserver.com/2024/10/rxr-hudson-bay-capital-secure-320m-recapitalize-620-avenue-of-the-americas/,"External review and the corrected same-date/site supercluster show RXR 620 Owner I and II documents form a broader 55 percent partial-interest acquisition at 620 Avenue of the Americas; sum the seven document amounts to 255.527939M as actual consideration, do not gross up to full-property value, and flag downstream as partial-interest rather than full fee-simple site price.",chatgpt_browser_review,2026-06-13
